#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Khatamzas-pt-1_maskedRefRemMafft" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.TraitSet" traitname="date" value="Khatamzas-pt-1_0|2020-05-11=2020-05-11,Khatamzas-pt-1_112|2020-08-31=2020-08-31,Khatamzas-pt-1_122|2020-09-10=2020-09-10,Khatamzas-pt-1_129|2020-09-17=2020-09-17,Khatamzas-pt-1_136|2020-09-24=2020-09-24,Khatamzas-pt-1_147|2020-10-05=2020-10-05,Khatamzas-pt-1_149|2020-10-07=2020-10-07,Khatamzas-pt-1_15|2020-05-26=2020-05-26,Khatamzas-pt-1_22|2020-06-02=2020-06-02,Khatamzas-pt-1_28|2020-06-08=2020-06-08,Khatamzas-pt-1_36|2020-06-16=2020-06-16,Khatamzas-pt-1_45|2020-06-23=2020-06-23,Khatamzas-pt-1_49|2020-06-29=2020-06-29,Khatamzas-pt-1_56|2020-07-06=2020-07-06,Khatamzas-pt-1_57|2020-07-07=2020-07-07,Khatamzas-pt-1_59|2020-07-09=2020-07-09,Khatamzas-pt-1_63|2020-07-13=2020-07-13,Khatamzas-pt-1_66|2020-07-16=2020-07-16,Khatamzas-pt-1_73|2020-07-23=2020-07-23,Khatamzas-pt-1_78|2020-07-28=2020-07-28,Khatamzas-pt-1_92|2020-08-11=2020-08-11">
#                        <taxa id="TaxonSet.Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Khatamzas-pt-1_maskedRefRemMafft"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Khatamzas-pt-1_maskedRefRemMafft" jeffreys="true" parameter="@bPopSizes.t:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:Khatamzas-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter id="clockRate.c:Khatamzas-pt-1_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:Khatamzas-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Khatamzas-pt-1_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Khatamzas-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter id="gammaShape.s:Khatamzas-pt-1_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Khatamzas-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter id="kappa.s:Khatamzas-pt-1_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Khatamzas-pt-1_maskedRefRemMafft" id="treeLikelihood.Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Khatamzas-pt-1_maskedRefRemMafft" useAmbiguities="true">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Khatamzas-pt-1_maskedRefRemMafft" shape="@gammaShape.s:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Khatamzas-pt-1_maskedRefRemMafft" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Khatamzas-pt-1_maskedRefRemMafft" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Khatamzas-pt-1_maskedRefRemMafft" kappa="@kappa.s:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Khatamzas-pt-1_maskedRefRemMafft" id="estimatedFreqs.s:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Khatamzas-pt-1_maskedRefRemMafft" id="StrictClock.c:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	gammaShape	kappa	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
19000	-40823.985697963246	-40875.061571798506	51.07587383525966	-40875.061571798506	0.4713908616131486	0.001238640464650717	0.7452811875227239	5.862083428107702	44.11543120207246	0.031037844480651534	0.03477247578216482	0.03880263146902075	0.08009904493815637	0.07785519488983718	9	1	5	1	4	0.2755279811987109	0.21487715082873016	0.2263173988632822	0.28327746910927676
20000	-40829.01286669533	-40878.13816612164	49.12529942630614	-40878.13816612164	0.4819119696643116	8.435171217921237E-4	0.7452811875227239	4.276801673222579	42.73042143457464	0.07926535965827834	0.07067572662924401	0.02774947190469018	0.07209484449024985	0.018050536078341187	6	1	8	4	1	0.2755279811987109	0.21487715082873016	0.2263173988632822	0.28327746910927676
21000	-40827.13806723508	-40875.667358517865	48.52929128278733	-40875.667358517865	0.45641007019100704	9.283646032900111E-4	0.6485063049734849	4.276801673222579	39.94360243757206	0.01460574973393133	0.035175332330459164	0.01461942901196491	0.03510726553807528	0.0791417388144759	7	1	6	5	1	0.2755279811987109	0.21487715082873016	0.2263173988632822	0.28327746910927676
22000	-40811.82166737013	-40876.330120304694	64.5084529345638	-40876.330120304694	0.450705551380019	0.0017081057447762699	0.3330221613943022	4.276801673222579	55.85104801776018	0.015644168722284673	0.012316416652736544	0.005163115517993244	0.023668245754363656	0.101298646762303	9	5	2	1	3	0.2755279811987109	0.21487715082873016	0.2263173988632822	0.28327746910927676
23000	-40814.381894716396	-40873.122135181984	58.74024046558949	-40873.122135181984	0.4502951672503863	0.0017284693764840397	0.34803040589043577	3.143545530111769	46.482182552587446	0.00433908982125631	0.014539245923970967	0.010877607328468123	0.015432894423332932	0.05224675039641574	1	9	3	3	4	0.2755279811987109	0.21487715082873016	0.2263173988632822	0.28327746910927676
24000	-40820.16601453532	-40875.934233069354	55.76821853402968	-40875.934233069354	0.4413209357103965	0.001191794178796304	0.34803040589043577	3.143545530111769	47.078505698082886	0.054240475004154264	0.007093516924402165	0.009812434401641205	0.040050081969898996	0.06774000720431148	9	2	1	2	6	0.2755279811987109	0.21487715082873016	0.2263173988632822	0.28327746910927676
25000	-40811.42866957312	-40873.060365110694	61.63169553757079	-40873.060365110694	0.42496107532154614	0.0014300339634856075	0.42273819611938457	3.143545530111769	51.89496407478722	0.005681436168794802	0.019183420025140004	0.04580139893077972	0.010385447295670773	0.03636078336286609	3	9	6	1	1	0.2755279811987109	0.21487715082873016	0.2263173988632822	0.28327746910927676
26000	-40806.71258958372	-40874.38927502955	67.67668544582669	-40874.38927502955	0.4290663395844831	0.0015217512682661077	0.42273819611938457	3.143545530111769	55.26764674419302	0.008522348675463537	0.02479729191146023	0.016534831449829483	0.01649352890713378	0.028604226667824913	1	12	3	1	3	0.2755279811987109	0.21487715082873016	0.2263173988632822	0.28327746910927676
27000	-40777.46398955683	-40845.26207304347	67.79808348664027	-40845.26207304347	0.4290663395844831	0.0013730674557960974	0.42273819611938457	3.143545530111769	56.84962081464814	0.009186130506134045	0.01588102297401517	0.047016023806905304	0.043791814355429004	0.018488377295554324	1	14	3	1	1	0.2710833682308732	0.21133700848544495	0.2263173988632822	0.2912622244203997
28000	-40734.18676790342	-40799.062444109775	64.8756762063583	-40799.062444109775	0.4295237762641187	0.0016341722365112085	0.2294214963394443	6.3528844465827605	54.95202753778954	0.01138371997847816	0.015575474384261545	0.039297337949340296	0.05896650183824045	0.02442063137405769	3	7	6	3	1	0.27791547338599554	0.21133700848544495	0.21948529370815986	0.2912622244203997
29000	-40679.072608303126	-40751.82333511559	72.75072681245834	-40751.82333511559	0.4824311667581201	0.001308168689331597	0.19698701074713007	6.3528844465827605	62.782999705584686	0.01287021022386097	0.028606351715659856	0.005032502289002583	0.015515161093318533	0.044213190337429625	3	4	6	4	3	0.27791547338599554	0.21133700848544495	0.2108505405267867	0.2998969776017728
30000	-40692.33493516519	-40752.97381828399	60.63888311879373	-40752.97381828399	0.43216197717946375	0.0012472627060886642	0.11916341701110354	6.3528844465827605	50.36692033238678	0.015260299752569026	0.031009292916517134	0.03226148015706113	0.019716471790841694	0.037508159991512025	4	1	3	2	10	0.27791547338599554	0.21133700848544495	0.2108505405267867	0.2998969776017728
31000	-40701.638952817564	-40761.15360735723	59.5146545396629	-40761.15360735723	0.43352077959690705	0.0015953524584857758	0.3284721381345236	7.982101930778636	52.852475771556044	0.021702605103610932	0.08949573330697119	0.005723713410773693	0.013909554990474741	0.03217872231580985	2	4	2	3	9	0.27791547338599554	0.21133700848544495	0.2108505405267867	0.2998969776017728
32000	-40690.88120934119	-40763.19739443207	72.31618509088361	-40763.19739443207	0.4103655529663977	0.0023907316866130742	0.3284721381345236	7.982101930778636	62.60223140324301	0.030548850470175394	0.00492374943863048	0.02458038805038381	0.014904817568521437	0.012067485608858682	3	2	2	12	1	0.28065646409326206	0.21133700848544495	0.2108505405267867	0.2971559868945063
33000	-40648.2819873718	-40717.967130816716	69.6851434449099	-40717.967130816716	0.40793537487532927	0.0024177678706842685	0.3284721381345236	7.982101930778636	58.27061676502851	0.007022096911159395	0.019108425104326646	0.022667716806194522	0.020969710986650087	0.02852632987590672	2	2	6	9	1	0.28065646409326206	0.20304529518235181	0.2108505405267867	0.3054477001975994
34000	-40633.51329928112	-40711.171453050745	77.65815376962264	-40711.171453050745	0.40793537487532927	0.0015833529540136507	0.3284721381345236	7.982101930778636	65.66814017060653	0.0034951049349989777	0.01290351902854682	0.016284100375965505	0.03526870927704826	0.0034058578701769903	2	3	7	7	1	0.28065646409326206	0.20304529518235181	0.2108505405267867	0.3054477001975994
35000	-40636.50806220729	-40715.14785306133	78.63979085404108	-40715.14785306133	0.40793537487532927	0.0014191243413076255	0.26307236673472256	7.982101930778636	65.53347099584285	0.004617757851165117	0.009014858703811983	0.014886149463087991	0.03338942384430075	0.008845824110099898	2	2	6	8	2	0.28065646409326206	0.20304529518235181	0.2108505405267867	0.3054477001975994
36000	-40637.609740452834	-40708.71798798728	71.10824753444388	-40708.71798798728	0.40832284982248035	0.0022646914323766914	0.13598424028939268	7.982101930778636	63.85523727140557	0.010497759330959044	0.020812307293921577	0.0216223064498734	0.10775737032015076	0.006747606487921913	1	9	7	1	2	0.28065646409326206	0.20304529518235181	0.2108505405267867	0.3054477001975994
