#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="3" id="bPopSizes.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="3" id="bGroupSizes.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.tree.TraitSet" traitname="date" value="Caccuri-pt-1|2020-08-05=2020-08-05,Caccuri-pt-1|2020-04-02=2020-04-02,Caccuri-pt-1|2020-04-09=2020-04-09,Caccuri-pt-1|2020-04-22=2020-04-22,Caccuri-pt-1|2020-04-28=2020-04-28,Caccuri-pt-1|2020-05-06=2020-05-06,Caccuri-pt-1|2020-05-13=2020-05-13,Caccuri-pt-1|2020-05-20=2020-05-20,Caccuri-pt-1|2020-07-27=2020-07-27,Caccuri-pt-1|2020-08-26=2020-08-26,Caccuri-pt-1|2020-09-07=2020-09-07,Caccuri-pt-1|2020-11-10=2020-11-10">
#                        <taxa id="TaxonSet.Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Caccuri-pt-1_maskedRefRemMafft_DateCorrect"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" jeffreys="true" parameter="@bPopSizes.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" name="distribution">
#            <parameter id="clockRate.c:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" name="distribution">
#            <parameter id="gammaShape.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" name="distribution">
#            <parameter id="kappa.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Caccuri-pt-1_maskedRefRemMafft_DateCorrect" id="treeLikelihood.Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" shape="@gammaShape.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" kappa="@kappa.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" id="estimatedFreqs.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" id="StrictClock.c:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	kappa	gammaShape	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-108288.0082076398	-108199.95165416811	-88.05655347168245	-108199.95165416811	2.3054708640313755	1.0	2.0	1.0	-65.37067967954688	380.0	380.0	380.0	4	4	3	0.25	0.25	0.25	0.25
2000	-41990.965489359434	-41953.02220123098	-37.94328812845298	-41953.02220123098	0.6109909399676041	0.024740461094383496	2.0	0.7157830060188217	-20.96197762730848	3.9799272039229523	15.292961182373737	77.5005200990406	8	2	1	0.24762261001241753	0.25036295689642507	0.24963704310357493	0.25237738998758247
4000	-41238.88853516982	-41246.687436031534	7.798900861715362	-41246.687436031534	0.6116652559808843	6.221326485723639E-4	3.2104734179464725	0.4425396078658575	12.382566035591815	0.16648478308716058	0.7575912112985397	0.8610504934891678	8	2	1	0.24762261001241753	0.25036295689642507	0.24963704310357493	0.25237738998758247
6000	-41185.73566114691	-41193.31682815724	7.5811670103379765	-41193.31682815724	0.6775923913232474	2.805653351272574E-4	4.877254973849599	0.4425396078658575	9.142934711641768	0.05716656565724902	0.2429642593051704	0.2846349574604237	3	3	5	0.24756978963919743	0.25036295689642507	0.2460611480469021	0.2560061054174754
8000	-41174.67765312351	-41193.047273069795	18.36961994628722	-41193.047273069795	0.7298382930773288	2.3900394685201143E-4	4.877254973849599	0.6667037827051472	15.568478860097903	0.05461905417045758	0.06550707542356717	0.06793948830041044	7	1	3	0.24151033408151584	0.25036295689642507	0.2460611480469021	0.26206556097515704
10000	-41157.60805472644	-41187.61844097384	30.010386247398827	-41187.61844097384	0.754283939950947	3.75602059004908E-4	2.0804690555370775	1.230677329167766	26.68439534842786	0.02324823689578281	0.0307152163840276	0.09922976348627781	4	3	4	0.2438187013996914	0.25036295689642507	0.2460611480469021	0.25975719365698147
12000	-41168.665148984255	-41189.33139214972	20.666243165463555	-41189.33139214972	0.716694094245433	4.597720914463874E-4	1.6301586983925682	1.2806209794825316	19.130202360564457	0.07677694461753465	0.12432001574790606	0.13280811748479848	6	1	4	0.2433003239153279	0.25036295689642507	0.2460611480469021	0.2602755711413449
14000	-41162.10743854582	-41189.33410506101	27.22666651519073	-41189.33410506101	0.7711395538156647	2.0200976627060142E-4	2.1582442852030495	0.38198702055202893	23.92860777258138	0.05488320382615982	0.035968665479435113	0.10309988757427309	4	5	2	0.2433003239153279	0.25036295689642507	0.2460611480469021	0.2602755711413449
16000	-41033.82028633797	-41070.477764057905	36.657477719937454	-41070.477764057905	0.6239062855278603	3.8271657280325357E-4	2.448429021563295	0.5304167276659011	30.13921788819554	0.020670260909444738	0.020116301980748784	0.032215046993147256	2	5	4	0.2433003239153279	0.23801480376403983	0.24995467242826142	0.26873019989237085
18000	-40981.45272185815	-41006.91322686058	25.460505002433592	-41006.91322686058	0.643352317163384	5.709803218162299E-4	1.9869681740928877	0.8755614530309733	22.99503551898337	0.1389507743425609	0.06527799663332676	0.06563231763881551	2	7	2	0.25473319139680023	0.23291961564065117	0.24995467242826142	0.2623925205342872
20000	-40934.796758502154	-40959.10971150288	24.312953000729337	-40959.10971150288	0.6287204637173697	6.090123697761755E-4	2.625106322642347	0.8755614530309733	23.977313146280096	0.4748648059569068	0.03806197473665462	0.051727839012763926	2	5	4	0.25936187172690395	0.22829093531054745	0.24995467242826142	0.2623925205342872
22000	-40883.43878786008	-40907.69864199931	24.25985413922644	-40907.69864199931	0.6705801342870622	5.182369089164506E-4	2.404058464825237	1.3940259958682832	22.136720908992064	0.1098380707789454	0.04149901223093056	0.06974047678995139	2	5	4	0.2604231682585702	0.2253356480287145	0.24871649505223067	0.2655246886604846
24000	-40794.71244903106	-40821.469537638455	26.757088607393307	-40821.469537638455	0.6458649831587526	4.2180563253158747E-4	3.6687577736317567	1.3940259958682832	23.83325242782788	0.07221071585364018	0.057194809202157366	0.030713742737665743	2	2	7	0.2691562338296668	0.2253356480287145	0.23998342948113408	0.2655246886604846
26000	-40799.65031305167	-40825.32970311885	25.679390067177973	-40825.32970311885	0.6555458928782196	7.442253161124227E-4	2.017937180419453	1.5510630253563888	22.056495426431532	0.06118446656478941	0.04405976780140013	0.04156158287992824	4	6	1	0.2691562338296668	0.2253356480287145	0.23998342948113408	0.2655246886604846
28000	-40808.02725627355	-40825.31449553614	17.287239262596565	-40825.31449553614	0.6980111616860804	5.368223167594215E-4	3.485530928782571	0.9581935392160288	15.364482750989898	0.10711154749734855	0.11096298684241508	0.037609561840451174	1	4	6	0.2691562338296668	0.2253356480287145	0.23998342948113408	0.2655246886604846
30000	-40795.95030593172	-40824.1314875376	28.18118160587286	-40824.1314875376	0.6330090229172783	4.70928942932113E-4	1.9479407909451343	0.9817747195193617	23.839962604448935	0.033355804143302886	0.023655609981271714	0.06312807531048668	1	7	3	0.2691562338296668	0.2253356480287145	0.23998342948113408	0.2655246886604846
32000	-40671.400377951286	-40690.200721950874	18.80034399958739	-40690.200721950874	0.729247613459166	8.625854280486973E-4	2.460834430688844	0.9817747195193617	17.813712325943136	0.14693734500536815	0.14511797238190827	0.11086015019481947	5	1	5	0.2691562338296668	0.21160239392499572	0.23998342948113408	0.2792579427642034
34000	-40560.46708782214	-40592.83709916952	32.3700113473789	-40592.83709916952	0.629495254175721	5.310351444652828E-4	4.594094688493911	0.9817747195193617	31.527133319524097	0.14879471592525229	0.1454546142875169	0.02633955627295061	1	1	9	0.2691562338296668	0.21160239392499572	0.22907897108739336	0.2901624011579441
36000	-40468.8107763122	-40497.60021114773	28.78943483552907	-40497.60021114773	0.632321032544415	4.68525698954991E-4	3.148139985524607	1.1432328307343218	28.24754131515975	0.44308619031849583	0.014579731446313478	0.02685998456986355	2	6	3	0.27749134025600636	0.19488063038329073	0.22907897108739336	0.2985490582733095
38000	-40478.91214759462	-40498.87314697367	19.960999379042104	-40498.87314697367	0.6386639434925446	4.193621374967969E-4	3.699138030870584	3.126755083345224	18.742413718333037	0.0584395579424241	0.04394023530502784	0.05389966601338818	2	6	3	0.27749134025600636	0.21498419286047102	0.20897540861021308	0.2985490582733095
