#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="4" id="bPopSizes.t:Halfmann-pt-1_maskedRefRemMafft" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="4" id="bGroupSizes.t:Halfmann-pt-1_maskedRefRemMafft" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.TraitSet" traitname="date" value="Halfmann-pt-1_0|2020-12-27=2020-12-27,Halfmann-pt-1_11|2021-01-07=2021-01-07,Halfmann-pt-1_18|2021-01-14=2021-01-14,Halfmann-pt-1_46|2021-02-11=2021-02-11,Halfmann-pt-1_85|2021-03-22=2021-03-22,Halfmann-pt-1_184|2021-06-29=2021-06-29,Halfmann-pt-1_220|2021-08-04=2021-08-04,Halfmann-pt-1_275|2021-09-28=2021-09-28,Halfmann-pt-1_302|2021-10-25=2021-10-25,Halfmann-pt-1_304|2021-10-27=2021-10-27,Halfmann-pt-1_369|2021-12-31=2021-12-31,Halfmann-pt-1_373|2022-01-04=2022-01-04">
#                        <taxa id="TaxonSet.Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Halfmann-pt-1_maskedRefRemMafft"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Halfmann-pt-1_maskedRefRemMafft" jeffreys="true" parameter="@bPopSizes.t:Halfmann-pt-1_maskedRefRemMafft" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:Halfmann-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter id="clockRate.c:Halfmann-pt-1_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:Halfmann-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Halfmann-pt-1_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Halfmann-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter id="gammaShape.s:Halfmann-pt-1_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Halfmann-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter id="kappa.s:Halfmann-pt-1_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Halfmann-pt-1_maskedRefRemMafft" id="treeLikelihood.Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Halfmann-pt-1_maskedRefRemMafft">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Halfmann-pt-1_maskedRefRemMafft" shape="@gammaShape.s:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Halfmann-pt-1_maskedRefRemMafft" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Halfmann-pt-1_maskedRefRemMafft" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Halfmann-pt-1_maskedRefRemMafft" kappa="@kappa.s:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Halfmann-pt-1_maskedRefRemMafft" id="estimatedFreqs.s:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Halfmann-pt-1_maskedRefRemMafft" id="StrictClock.c:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	kappa	gammaShape	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
18000	-41146.68654923013	-41174.297978116	27.611428885872066	-41174.297978116	1.0290954231984457	0.0011247813478540449	3.7123940839279967	0.18602172474854448	19.892339750382845	0.02859823687933687	0.054182871092574164	0.032798602659258116	0.018094016728181075	3	6	1	1	0.254666258549105	0.23405892030312508	0.2393454611729993	0.27192935997477063
19000	-41143.72318233258	-41173.10087085931	29.377688526727184	-41173.10087085931	1.0286565526001368	6.776464041099921E-4	3.7123940839279967	0.13745058861437986	23.97093630250002	0.017967204386132914	0.08396413193605552	0.04083512052354057	0.021455453547185623	3	3	3	2	0.254666258549105	0.23405892030312508	0.2393454611729993	0.27192935997477063
20000	-41144.94930361382	-41172.841784537544	27.892480923723046	-41172.841784537544	1.030840844459478	9.171700877166082E-4	3.142622197134831	0.18565924698895947	20.09998620320854	0.04341934755081837	0.07248202407042749	0.023395060085068867	0.00910538959006297	1	8	1	1	0.254666258549105	0.23405892030312508	0.2393454611729993	0.27192935997477063
21000	-41114.94087995852	-41140.42624875177	25.485368793244945	-41140.42624875177	1.022428325633916	7.162024945442984E-4	2.1363273042702176	0.18565924698895947	21.45637246356434	0.05974509272874627	0.17777757229576818	0.06781365722938411	0.038117960390445446	3	4	1	3	0.2580639199019634	0.23405892030312508	0.23594779982014086	0.27192935997477063
22000	-41013.74731686871	-41041.14564549786	27.398328629152985	-41041.14564549786	1.0324311948117142	8.550130550055503E-4	2.942715503667404	0.18565924698895947	23.096513467308803	0.031033447084684286	0.14529915195629253	0.04885479809504095	0.008016370637923478	4	2	3	2	0.2580639199019634	0.23405892030312508	0.2252552264575834	0.2826219333373281
23000	-41016.40473739036	-41041.594246281384	25.189508891026712	-41041.594246281384	1.0356430510549792	9.499063035133055E-4	2.0963878848792423	0.11692911455037977	19.03359909062685	0.0884215667192765	0.1420152094431195	0.017134603698679272	0.016556376732355636	8	1	1	1	0.2580639199019634	0.23405892030312508	0.2252552264575834	0.2826219333373281
24000	-41013.109822360006	-41039.81182682598	26.7020044659733	-41039.81182682598	1.0472632747586865	9.46267263328128E-4	2.0963878848792423	0.09763288440595505	22.077048741036023	0.03841214263395926	0.1401315925387417	0.01640999974788038	0.036136585039203716	4	4	1	2	0.25884882023616856	0.23405892030312508	0.2252552264575834	0.28183703300312296
25000	-40935.83708301468	-40957.594121924274	21.757038909589273	-40957.594121924274	1.0510573272339492	0.0014022168154440796	2.0963878848792423	0.04122270045802129	18.741318501023397	0.043868397028868474	0.11883486468342983	0.19008685334550018	0.147145636230624	5	1	4	1	0.25884882023616856	0.22488589850074422	0.2252552264575834	0.2910100548055038
26000	-40930.02280790837	-40953.154886898585	23.13207899021442	-40953.154886898585	1.054871577744315	7.845344200006357E-4	2.0963878848792423	0.04122270045802129	18.296476938324563	0.005015298043693253	0.027893463875429868	0.09760761262932184	0.06393220970098794	1	3	6	1	0.25884882023616856	0.22488589850074422	0.2252552264575834	0.2910100548055038
27000	-40901.478690184485	-40922.00608775844	20.527397573956698	-40922.00608775844	1.0472178397276153	9.5306972337538E-4	2.0963878848792423	0.04122270045802129	15.963602858754264	0.03768797012467826	0.07115808790794115	0.1519668508542401	0.08375705607710167	1	3	6	1	0.25884882023616856	0.21992617257935498	0.2252552264575834	0.29596978072689306
28000	-40896.9523522915	-40915.33015759105	18.37780529955135	-40915.33015759105	1.0496559446344305	9.01933383278968E-4	3.506242241294882	0.031310301889368584	16.738443145817413	0.05301087798805613	0.12576594920916778	0.3090965820490178	0.06297809285501227	1	4	1	5	0.25884882023616856	0.21992617257935498	0.2252552264575834	0.29596978072689306
29000	-40894.48913094525	-40912.68930276724	18.20017182199442	-40912.68930276724	1.0435922668479953	8.050583055015774E-4	3.506242241294882	0.0581902130079374	13.639582814364815	0.08397342996099214	0.05939704799825353	0.11594059305946706	0.02750893621051474	1	6	2	2	0.25884882023616856	0.21992617257935498	0.2252552264575834	0.29596978072689306
30000	-40851.75697666012	-40870.34317293628	18.586196276154677	-40870.34317293628	1.0315214148937852	7.520421772101735E-4	3.506242241294882	0.0581902130079374	16.923671399648605	0.12040736155319015	0.36856219772151566	0.10076498210023668	0.005483899531095965	4	3	2	2	0.25884882023616856	0.21992617257935498	0.21730867842919754	0.3039163287552789
31000	-40832.62159709625	-40854.65849881401	22.03690171776148	-40854.65849881401	1.0315214148937852	7.936423494442508E-4	3.506242241294882	0.0581902130079374	19.07969826684141	0.09112248391143132	0.19236536948726643	0.1456334164866207	0.009500828956342033	2	2	5	2	0.2650483815808015	0.21992617257935498	0.21730867842919754	0.29771676741064595
32000	-40784.720421096325	-40813.43720709898	28.71678600265281	-40813.43720709898	1.0315214148937852	0.0010872721633894036	3.506242241294882	0.0581902130079374	24.560522833324413	0.0265567981616855	0.06673526709204768	0.16394764715797622	0.02799275514195916	2	1	5	3	0.2650483815808015	0.21992617257935498	0.20724198117520182	0.3077834646646417
33000	-40794.02922728086	-40814.82731711205	20.798089831192534	-40814.82731711205	1.0315214148937852	6.755200537637635E-4	3.257606151848278	0.0581902130079374	18.30725239757212	0.03746939927922305	0.06890455802259302	0.24559929507158723	0.08882527147662062	3	1	5	2	0.2650483815808015	0.21992617257935498	0.20724198117520182	0.3077834646646417
34000	-40797.319369567565	-40816.700421735266	19.38105216770382	-40816.700421735266	1.0307993285614399	7.280108251654372E-4	3.257606151848278	0.14536520739200703	17.313222729307125	0.08366847360744917	0.2527659936220938	0.1284086864214655	0.04029542865925641	4	2	3	2	0.2650483815808015	0.21992617257935498	0.20724198117520182	0.3077834646646417
