#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="4" id="bPopSizes.t:Huygens-pt-2_maskedRefRemMafft" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="4" id="bGroupSizes.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.tree.TraitSet" traitname="date" value="Huygens-pt-2_0|2022-01-06=2022-01-06,Huygens-pt-2_118|2022-05-04=2022-05-04,Huygens-pt-2_123|2022-05-09=2022-05-09,Huygens-pt-2_131|2022-05-17=2022-05-17,Huygens-pt-2_139|2022-05-25=2022-05-25,Huygens-pt-2_160|2022-06-15=2022-06-15,Huygens-pt-2_25|2022-01-31=2022-01-31,Huygens-pt-2_32|2022-02-07=2022-02-07,Huygens-pt-2_40|2022-02-15=2022-02-15,Huygens-pt-2_53|2022-02-28=2022-02-28,Huygens-pt-2_62|2022-03-09=2022-03-09,Huygens-pt-2_76|2022-03-23=2022-03-23,Huygens-pt-2_90|2022-04-06=2022-04-06">
#                        <taxa id="TaxonSet.Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Huygens-pt-2_maskedRefRemMafft"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Huygens-pt-2_maskedRefRemMafft" jeffreys="true" parameter="@bPopSizes.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:Huygens-pt-2_maskedRefRemMafft" name="distribution">
#            <parameter id="clockRate.c:Huygens-pt-2_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:Huygens-pt-2_maskedRefRemMafft" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Huygens-pt-2_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Huygens-pt-2_maskedRefRemMafft" name="distribution">
#            <parameter id="gammaShape.s:Huygens-pt-2_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Huygens-pt-2_maskedRefRemMafft" name="distribution">
#            <parameter id="kappa.s:Huygens-pt-2_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Huygens-pt-2_maskedRefRemMafft" id="treeLikelihood.Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Huygens-pt-2_maskedRefRemMafft">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Huygens-pt-2_maskedRefRemMafft" shape="@gammaShape.s:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Huygens-pt-2_maskedRefRemMafft" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Huygens-pt-2_maskedRefRemMafft" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Huygens-pt-2_maskedRefRemMafft" kappa="@kappa.s:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Huygens-pt-2_maskedRefRemMafft" id="estimatedFreqs.s:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Huygens-pt-2_maskedRefRemMafft" id="StrictClock.c:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	gammaShape	kappa	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
18000	-41020.415736126786	-41024.45437957501	4.038643448218794	-41024.45437957501	0.5663060393210111	4.090123924052742E-4	2.907501292293592	2.881550960194471	9.226285463339636	0.8286950033259598	0.11199124999377048	0.29204146196743297	0.33052756126951005	3	5	1	3	0.2540073443656886	0.23504402289037774	0.24762744283766627	0.26332118990626735
19000	-41022.82290933149	-41028.79858109787	5.975671766386391	-41028.79858109787	0.5590666357501579	4.033732732616977E-4	1.5309884214021228	2.881550960194471	9.477788792634389	1.312188250893818	0.3381399215524306	0.2576821853941159	0.1666716997587999	1	1	6	4	0.2540073443656886	0.23504402289037774	0.24762744283766627	0.26332118990626735
20000	-41010.84123182384	-41015.905535765414	5.064303941570975	-41015.905535765414	0.8246422887472293	3.5211504764259664E-4	1.5309884214021228	2.881550960194471	6.822104294763915	0.37980485212503273	0.16137719126376135	0.22099952324482924	0.3316670138225124	2	1	8	1	0.2548582931425537	0.23419307411351262	0.24762744283766627	0.26332118990626735
21000	-41015.6324910489	-41018.13187290279	2.499381853891781	-41018.13187290279	0.5285732866104015	3.516169883482466E-4	1.5309884214021228	2.881550960194471	4.4240700467599465	0.37634248152374483	0.2901244460005522	0.22632849982803677	0.29850716598556465	1	5	1	5	0.2548582931425537	0.23419307411351262	0.24762744283766627	0.26332118990626735
22000	-40990.34765619141	-40992.711984514004	2.364328322595691	-40992.711984514004	0.5982358743615663	4.3555084123731287E-4	1.6941200704108916	2.881550960194471	4.988754366092816	0.6264157597905133	0.28457213374325263	0.2535033379329956	0.24040383559788245	2	4	3	3	0.2571186068049634	0.23193276045110292	0.24762744283766627	0.26332118990626735
23000	-40838.675399837164	-40841.52444449876	2.849044661600324	-40841.52444449876	0.6221494433483145	2.87184085537862E-4	1.6941200704108916	2.881550960194471	5.360487760510886	0.5880731186508736	0.5118859722543455	0.1941145387776437	0.1430490710570065	3	2	5	2	0.24984105123095535	0.23193276045110292	0.233262764547052	0.2849634237708897
24000	-40841.68830580155	-40841.45776245456	-0.23054334698775114	-40841.45776245456	1.067327174285438	1.847648927069005E-4	0.8977313856542082	2.4052851639983186	2.308800504300593	0.6159865750026452	0.318003487069829	0.37971522865016316	0.37586086718853967	4	5	1	2	0.24984105123095535	0.23193276045110292	0.233262764547052	0.2849634237708897
25000	-40846.19340702839	-40845.30395869995	-0.8894483284366439	-40845.30395869995	0.7033088678108013	6.102801763519662E-4	0.7798192889528173	2.4052851639983186	2.097117435424424	0.4773845221409174	0.3668871745693247	0.5174632830191599	0.5917914216526066	7	3	1	1	0.24984105123095535	0.23193276045110292	0.233262764547052	0.2849634237708897
26000	-40834.63303796253	-40838.485097440825	3.8520594782974005	-40838.485097440825	0.5946340136641401	3.3100788728684916E-4	0.7798192889528173	2.477334744534625	7.16636270393276	0.21808079730681262	0.12776217651628896	0.5801058042545894	0.582431947687101	2	6	3	1	0.2513512151850905	0.23193276045110292	0.233262764547052	0.2834532598167545
27000	-40829.060109138496	-40837.95640934024	8.896300201742758	-40837.95640934024	0.5703573743121373	4.072330703083578E-4	1.404296083096606	2.477334744534625	10.552048518624563	0.22662245093137218	0.4534358072228736	0.11706373151994777	0.21601715280951883	3	1	3	5	0.2513512151850905	0.23193276045110292	0.233262764547052	0.2834532598167545
28000	-40845.54155919612	-40838.09108416334	-7.4504750327866445	-40838.09108416334	0.8455024982484696	2.662172449581637E-4	1.404296083096606	2.477334744534625	-1.3900360545820063	0.639154767343792	0.3422550032989351	0.6215154331189137	1.6754244759333485	8	2	1	1	0.2513512151850905	0.23193276045110292	0.233262764547052	0.2834532598167545
29000	-40838.54414697233	-40838.85986100509	0.3157140327623482	-40838.85986100509	0.789129736021369	3.3282387098557E-4	1.1366575993522607	2.5296028961492167	3.720660584624751	1.743511408167985	0.5876944331334993	0.09599277125247331	0.14008260746090842	2	3	4	3	0.2513512151850905	0.23193276045110292	0.233262764547052	0.2834532598167545
30000	-40828.443392208465	-40834.79668862056	6.353296412096764	-40834.79668862056	0.5961328737801462	3.752865580003609E-4	1.1373320737882544	2.5296028961492167	8.248567793391821	0.238848838095099	0.7247802985591381	0.061604303646074006	0.09483538675770711	4	1	2	5	0.2513512151850905	0.23193276045110292	0.233262764547052	0.2834532598167545
31000	-40786.02331136684	-40804.599792829125	18.576481462290023	-40804.599792829125	0.4536046479164503	4.6418048477889863E-4	1.1373320737882544	2.5296028961492167	16.173826797250975	0.1480771822620303	0.024452037353442476	0.09303691161898257	0.030148876980263705	9	1	1	1	0.2513512151850905	0.2286249668266992	0.233262764547052	0.28676105344115826
32000	-40788.003674487525	-40801.678774897235	13.675100409709083	-40801.678774897235	0.5459414877709425	3.8967155282225674E-4	1.1373320737882544	2.7146195237966046	9.789508491452311	0.11155263342498509	0.04146897008179411	0.05439568779881756	0.08886490204447409	7	1	1	3	0.2513512151850905	0.22415316064555224	0.23773457072819895	0.28676105344115826
33000	-40794.83711863882	-40802.064734033265	7.22761539444525	-40802.064734033265	0.570275388622524	4.4138551933694924E-4	1.1373320737882544	2.883892847884174	3.5646211253842037	0.35145432140927485	0.12150010568885977	0.018039178323742817	0.012944095772780578	1	9	1	1	0.2513512151850905	0.22415316064555224	0.23773457072819895	0.28676105344115826
34000	-40663.071421179804	-40678.52792646254	15.456505282739652	-40678.52792646254	0.515822632016455	7.130428628766375E-4	1.1373320737882544	1.3096620914983073	13.066541744403377	0.24949772732827402	0.09003052215880569	0.11258580996041373	0.07285404562306899	1	2	8	1	0.2513512151850905	0.22415316064555224	0.21866384644155648	0.30583177772780074
