#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="4" id="bPopSizes.t:Huygens-pt-2_maskedRefRemMafft" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="4" id="bGroupSizes.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.tree.TraitSet" traitname="date" value="Huygens-pt-2_0|2022-01-06=2022-01-06,Huygens-pt-2_118|2022-05-04=2022-05-04,Huygens-pt-2_123|2022-05-09=2022-05-09,Huygens-pt-2_131|2022-05-17=2022-05-17,Huygens-pt-2_139|2022-05-25=2022-05-25,Huygens-pt-2_160|2022-06-15=2022-06-15,Huygens-pt-2_25|2022-01-31=2022-01-31,Huygens-pt-2_32|2022-02-07=2022-02-07,Huygens-pt-2_40|2022-02-15=2022-02-15,Huygens-pt-2_53|2022-02-28=2022-02-28,Huygens-pt-2_62|2022-03-09=2022-03-09,Huygens-pt-2_76|2022-03-23=2022-03-23,Huygens-pt-2_90|2022-04-06=2022-04-06">
#                        <taxa id="TaxonSet.Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Huygens-pt-2_maskedRefRemMafft"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Huygens-pt-2_maskedRefRemMafft" jeffreys="true" parameter="@bPopSizes.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:Huygens-pt-2_maskedRefRemMafft" name="distribution">
#            <parameter id="clockRate.c:Huygens-pt-2_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:Huygens-pt-2_maskedRefRemMafft" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Huygens-pt-2_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Huygens-pt-2_maskedRefRemMafft" name="distribution">
#            <parameter id="gammaShape.s:Huygens-pt-2_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Huygens-pt-2_maskedRefRemMafft" name="distribution">
#            <parameter id="kappa.s:Huygens-pt-2_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Huygens-pt-2_maskedRefRemMafft" id="treeLikelihood.Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Huygens-pt-2_maskedRefRemMafft">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Huygens-pt-2_maskedRefRemMafft" shape="@gammaShape.s:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Huygens-pt-2_maskedRefRemMafft" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Huygens-pt-2_maskedRefRemMafft" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Huygens-pt-2_maskedRefRemMafft" kappa="@kappa.s:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Huygens-pt-2_maskedRefRemMafft" id="estimatedFreqs.s:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Huygens-pt-2_maskedRefRemMafft" id="StrictClock.c:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	gammaShape	kappa	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-106072.90847894704	-105971.97142943362	-100.93704951342518	-105971.97142943362	1.9259071279042124	1.0	1.0	2.0	-71.31100446856917	380.0	380.0	380.0	380.0	3	3	3	3	0.25	0.25	0.25	0.25
1000	-43474.756354335426	-43385.38315739066	-89.37319694476614	-43385.38315739066	0.4545731636829085	0.09698916235249612	0.8932152993011395	2.0	-60.65445221099515	272.0107479677445	159.66388763664784	119.51610222464272	425.051813077961	1	4	6	1	0.25	0.24069791950752725	0.2593020804924727	0.25
2000	-41593.93241160939	-41514.10769150221	-79.82472010718053	-41514.10769150221	0.4545731636829085	0.015894807034836755	0.79298266680697	2.0	-48.327548776730715	182.99899674779803	96.89957224869362	37.76361806211071	351.03617259084945	1	1	9	1	0.25	0.24069791950752725	0.2593020804924727	0.25
3000	-41355.41572346836	-41287.97560476974	-67.44011869861862	-41287.97560476974	0.4490381574387416	0.0020720437702240646	0.79298266680697	1.3259948770991359	-44.39197713097424	95.57857801408775	23.36267513668437	48.28470810967634	106.54933895775726	1	5	5	1	0.25	0.24069791950752725	0.2593020804924727	0.25
4000	-41316.03947884802	-41266.92608332504	-49.11339552298247	-41266.92608332504	0.5472132314612301	6.18280062807088E-4	0.7863512250780277	1.3259948770991359	-23.65575647703492	112.16874642216766	3.6112188569831862	27.19462600979379	40.58218860993708	1	9	1	1	0.25	0.24069791950752725	0.2593020804924727	0.25
5000	-41298.88411377987	-41267.24038228086	-31.643731499012453	-41267.24038228086	1.020291049742516	1.6522281115957988E-4	0.7863512250780277	1.453847435544935	-13.58559702655075	32.980358376214426	1.233841159048072	5.293791031708668	12.883890578860498	1	9	1	1	0.25	0.24069791950752725	0.2593020804924727	0.25
6000	-41292.09734249865	-41267.04217300699	-25.055169491665684	-41267.04217300699	1.1580411683508103	1.8055863520772302E-4	0.7863512250780277	1.3527136236454518	-8.566017759155939	10.805314777362845	0.6891808022114603	1.4406113985496345	10.36628322105066	1	5	5	1	0.25	0.24069791950752725	0.2593020804924727	0.25
7000	-41287.43714055527	-41265.68079211004	-21.75634844522584	-41265.68079211004	1.3421040472337467	1.8410378652799496E-4	0.7863512250780277	1.3527136236454518	-6.409042574460755	18.545743923515364	0.3083286790092518	1.8816509392146898	2.908081259309789	1	9	1	1	0.25	0.24069791950752725	0.2593020804924727	0.25
8000	-41224.460043757106	-41204.302471007446	-20.157572749661025	-41204.302471007446	1.172702234110783	1.1281225403673554E-4	0.7863512250780277	1.3527136236454518	-8.521252355622149	22.49455972362022	0.6465007264665139	1.501481670636139	1.0538687938050058	1	6	3	2	0.25001235111597686	0.2406855683915504	0.2552434045180225	0.2540586759744502
9000	-41165.98589535264	-41161.55700565217	-4.428889700472291	-41161.55700565217	0.8209586387841159	2.0500856442949017E-4	0.4539653722619686	2.0866900874404055	-0.4716547910255574	3.3641240185900663	0.41350927071931615	0.22478036391201126	0.19917712520992464	1	7	2	2	0.25001235111597686	0.23786508654771507	0.2552434045180225	0.2568791578182855
10000	-41173.658396052924	-41164.24290870743	-9.415487345499368	-41164.24290870743	0.8107940289877305	2.103515440038275E-4	0.4539653722619686	2.0866900874404055	-3.5697288009335577	3.7388681640954196	1.2040245946678223	0.49494634608328886	0.31613340421772756	1	2	5	4	0.25001235111597686	0.23786508654771507	0.2552434045180225	0.2568791578182855
11000	-41173.45322732336	-41160.511687285	-12.94154003836641	-41160.511687285	0.7949759560479984	1.8612214025925985E-4	0.4539653722619686	1.741723607770045	-6.250722607188076	2.164370326578148	2.9913282369805114	0.9594420801240084	0.16799744671609076	1	4	5	2	0.25001235111597686	0.23786508654771507	0.2552434045180225	0.2568791578182855
12000	-41168.724133883916	-41159.60303478229	-9.121099101629628	-41159.60303478229	0.8681723961396738	1.9478468296893733E-4	0.4659241128023154	2.9230497529490442	-4.506353915569422	0.8993511490812189	1.1782679551993027	0.8211133326554371	0.14010065598777963	3	6	1	2	0.25001235111597686	0.23786508654771507	0.2552434045180225	0.2568791578182855
13000	-41166.86483188714	-41160.18252539622	-6.682306490919542	-41160.18252539622	0.8933315208472306	1.7505924966775398E-4	0.4659241128023154	2.707943312441521	-2.637956914684571	0.5473315870511716	0.8629668116129797	0.24682360065130746	0.5749294430614491	6	1	1	4	0.25001235111597686	0.2423361227673032	0.25077236829843436	0.2568791578182855
14000	-41177.65895637579	-41162.78332003123	-14.875636344560876	-41162.78332003123	1.0516720320260176	2.1285200604696667E-4	0.9238901964869565	1.959217936088535	-5.925139497479788	0.3464737263155669	1.5288491659063512	2.847873864379659	1.5695231195889092	6	1	2	3	0.25001235111597686	0.2423361227673032	0.25077236829843436	0.2568791578182855
15000	-41171.61686202283	-41161.940289249935	-9.676572772889637	-41161.940289249935	0.8570690423416001	2.6620744045966215E-4	0.9238901964869565	2.630618120560198	-3.1668006355623888	0.3109087094519295	0.8105961769633802	1.5229139489844714	1.699826274081265	7	2	1	2	0.25001235111597686	0.2423361227673032	0.25077236829843436	0.2568791578182855
16000	-41156.603764495965	-41153.328708028945	-3.2750564670175857	-41153.328708028945	0.6685596257145228	2.3013017271136379E-4	1.485196063105739	2.630618120560198	2.3437646177301503	0.19100062770656084	0.5503055232506214	1.3208601497190655	0.4920652929256632	8	1	1	2	0.25001235111597686	0.2423361227673032	0.2500746687084177	0.25757685740830216
17000	-41159.24780008684	-41154.569176245175	-4.678623841670977	-41154.569176245175	0.89554568810181	2.1363642295094094E-4	1.0215747861001974	1.7213466023897803	-0.5609460215471621	0.33177002009064166	0.5607642283092275	0.8145328847780645	0.9705769560572195	6	3	1	2	0.25001235111597686	0.2423361227673032	0.2500746687084177	0.25757685740830216
