#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Harari-pt-5_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="3" id="bPopSizes.t:Harari-pt-5_maskedRefRemMafft" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="3" id="bGroupSizes.t:Harari-pt-5_maskedRefRemMafft" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Harari-pt-5_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Harari-pt-5_maskedRefRemMafft" spec="beast.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:Harari-pt-5_maskedRefRemMafft" spec="beast.evolution.tree.TraitSet" traitname="date" value="Harari-pt-5|2020-10-06=2020-10-06,Harari-pt-5|2020-10-18=2020-10-18,Harari-pt-5|2020-10-26=2020-10-26,Harari-pt-5|2020-11-02=2020-11-02,Harari-pt-5|2020-11-05=2020-11-05,Harari-pt-5|2020-11-15=2020-11-15,Harari-pt-5|2020-11-19=2020-11-19,Harari-pt-5|2020-12-13=2020-12-13,Harari-pt-5|2020-12-20=2020-12-20">
#                        <taxa id="TaxonSet.Harari-pt-5_maskedRefRemMafft" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Harari-pt-5_maskedRefRemMafft"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Harari-pt-5_maskedRefRemMafft" jeffreys="true" parameter="@bPopSizes.t:Harari-pt-5_maskedRefRemMafft" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:Harari-pt-5_maskedRefRemMafft" name="distribution">
#            <parameter id="clockRate.c:Harari-pt-5_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:Harari-pt-5_maskedRefRemMafft" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Harari-pt-5_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Harari-pt-5_maskedRefRemMafft" name="distribution">
#            <parameter id="gammaShape.s:Harari-pt-5_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Harari-pt-5_maskedRefRemMafft" name="distribution">
#            <parameter id="kappa.s:Harari-pt-5_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Harari-pt-5_maskedRefRemMafft" id="treeLikelihood.Harari-pt-5_maskedRefRemMafft" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Harari-pt-5_maskedRefRemMafft">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Harari-pt-5_maskedRefRemMafft" shape="@gammaShape.s:Harari-pt-5_maskedRefRemMafft" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Harari-pt-5_maskedRefRemMafft" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Harari-pt-5_maskedRefRemMafft" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Harari-pt-5_maskedRefRemMafft" kappa="@kappa.s:Harari-pt-5_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Harari-pt-5_maskedRefRemMafft" id="estimatedFreqs.s:Harari-pt-5_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Harari-pt-5_maskedRefRemMafft" id="StrictClock.c:Harari-pt-5_maskedRefRemMafft" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	gammaShape	kappa	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-76654.14665827822	-76583.92989606617	-70.21676221205301	-76583.92989606617	0.6227955219813472	1.0	1.0	2.0	-47.53088841991743	380.0	380.0	380.0	3	3	2	0.25	0.25	0.25	0.25
1000	-45179.220655921206	-45123.76580082515	-55.454855096053535	-45123.76580082515	0.21159554248734727	0.33642592419952316	1.0	2.0	-35.38588643466737	54.52320375703818	146.8690108551278	223.6987472800242	5	2	1	0.25	0.24527995545546774	0.25	0.25472004454453223
2000	-41385.14921094387	-41334.02091050699	-51.128300436882235	-41334.02091050699	0.21159554248734727	0.01867659224003898	1.0	3.3047608857141646	-32.26570817096441	25.707585413792426	92.25642543690606	83.59386713814699	3	4	1	0.25	0.24527995545546774	0.25	0.25472004454453223
3000	-41260.93121176703	-41223.72069916147	-37.210512605557376	-41223.72069916147	0.2238588519562718	0.0019764426096952306	1.0	3.3047608857141646	-20.924593684934255	9.454545954087674	29.22095315430767	57.790403874610824	6	1	1	0.24997593455360365	0.24527995545546774	0.2500240654463963	0.25472004454453223
4000	-41240.81129844562	-41214.6875942646	-26.123704181017	-41214.6875942646	0.4386020902197673	6.010986024822328E-4	1.0	3.3047608857141646	-9.38707430203683	1.3267364776305088	6.601561244783937	39.3349429239775	5	2	1	0.24997593455360365	0.24527995545546774	0.2500240654463963	0.25472004454453223
5000	-41226.10825470801	-41207.52760595939	-18.580648748618422	-41207.52760595939	0.796696052717946	3.127605434386742E-4	0.5826183454896119	3.3047608857141646	-6.833647300891919	1.274485403438769	6.246147313648395	9.973576190379303	6	1	1	0.24394539818870856	0.24527995545546774	0.2500240654463963	0.2607505809094273
6000	-41225.94999059863	-41208.44382202771	-17.506168570924476	-41208.44382202771	0.799973442099126	2.1685176648773784E-4	0.5826183454896119	3.3047608857141646	-5.090463287770829	0.4456906018318491	0.488268740448077	5.234750744743795	3	2	3	0.24394539818870856	0.24527995545546774	0.2500240654463963	0.2607505809094273
7000	-41150.47463487141	-41145.4780925501	-4.996542321305253	-41145.4780925501	1.4716579074804785	1.2720464285572393E-4	0.5826183454896119	4.311506562617426	-1.082760281731189	0.12238059580413622	0.5115265015831937	0.6913264057332499	3	3	2	0.24394539818870856	0.2407476953890344	0.2500240654463963	0.2652828409758607
8000	-41144.538193208224	-41145.88318809643	1.3449948882024225	-41145.88318809643	0.43416697222177986	3.6448540817995387E-4	0.78706182164561	4.311506562617426	3.7961517844403323	0.22549043699994611	0.5201205413841611	0.1657440731371267	2	2	4	0.24394539818870856	0.23945657428195324	0.25131518655347745	0.2652828409758607
9000	-41148.25641499685	-41149.040019736436	0.7836047395819725	-41149.040019736436	0.4393895852283124	2.863637889137811E-4	0.78706182164561	5.252374988954996	4.6320960830092694	0.398293320025752	0.788000738581883	0.17554926602134396	3	2	3	0.24394539818870856	0.23945657428195324	0.25131518655347745	0.2652828409758607
10000	-41149.80353007198	-41148.409075322095	-1.3944547498849496	-41148.409075322095	0.5719290737518963	3.717745668582298E-4	0.78706182164561	5.252374988954996	4.95554258211088	0.18456490502695858	1.0485048230146228	0.28784232348352223	3	1	4	0.24394539818870856	0.23945657428195324	0.25131518655347745	0.2652828409758607
11000	-41018.573013246525	-41026.424373080095	7.851359833566963	-41026.424373080095	0.34646212329595905	5.043427622658805E-4	0.7322506946681453	3.9624860628947443	8.536125058756198	0.22519280975758213	0.20503073932714466	0.21401825739527566	3	4	1	0.24394539818870856	0.22906377659753285	0.25131518655347745	0.2756756386602811
12000	-41012.26879503882	-41021.95991205332	9.691117014493773	-41021.95991205332	0.5074242386175966	7.954734154206181E-4	0.7322506946681453	3.9624860628947443	7.784231612270238	0.014290166973846701	0.06950884338786781	0.07611395105178535	4	2	2	0.24394539818870856	0.22906377659753285	0.25131518655347745	0.2756756386602811
13000	-40938.44644134072	-40955.89920203102	17.452760690299556	-40955.89920203102	0.43506373628743433	8.146107685713261E-4	0.7322506946681453	2.083136853377364	14.394970679430296	0.02607592798095847	0.03065578743995072	0.11999051596932653	1	3	4	0.2491069793190989	0.22906377659753285	0.24615360542308712	0.2756756386602811
14000	-40936.68614391956	-40960.01281462304	23.326670703478	-40960.01281462304	0.24875113439805022	0.001335898867462195	0.7322506946681453	1.6161470651771306	18.69898928759714	0.02676605994192438	0.043587444582265183	0.07310467344288259	3	1	4	0.2491069793190989	0.22510048697390844	0.25011689504671153	0.2756756386602811
15000	-40934.05411088442	-40963.218232278676	29.164121394254238	-40963.218232278676	0.2124872954148131	0.001987287465355491	0.7322506946681453	2.124675408356726	22.974731964248072	0.028467441082552596	0.01620886752726553	0.029727650967702413	3	1	4	0.2491069793190989	0.22510048697390844	0.25011689504671153	0.2756756386602811
16000	-40870.15303587176	-40896.68021928881	26.527183417053614	-40896.68021928881	0.2283491342061939	0.0016902275847472835	0.5614087033121292	1.3940908169599808	22.13546958851747	0.0027706652785223188	0.015373134829101093	0.0589375048468318	2	2	4	0.2491069793190989	0.23395676099158613	0.23487786577679115	0.2820583939125238
17000	-40864.322572372745	-40900.40661249545	36.08404012270279	-40900.40661249545	0.2286779148860773	0.001547898507289694	0.3244216564596262	1.8140746572207809	27.613626848488614	0.00930135430744201	0.017250536935894324	0.01683039522169413	2	5	1	0.2491069793190989	0.23395676099158613	0.23487786577679115	0.2820583939125238
